Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Past,Press,Succ,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches,First,Last
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,eng Premier League,28.0,1990.0,27.9,51.0,32,33.0,16.0,2.0,22.0,54.0,40.7,32.0,267.0,74.0,27.7,159.0,71.0,37.0,57.0,13.0,1.0,44.0,23,74,67.0,3.0,Matches,Patrick van Aanholt,Patrick-van-Aanholt
2,Max Aarons\Max-Aarons,eng ENG,DF,Norwich City,eng Premier League,19.0,2000.0,36.0,64.0,36,40.0,17.0,7.0,21.0,45.0,46.7,24.0,487.0,132.0,27.1,283.0,142.0,62.0,100.0,30.0,2.0,70.0,20,84,86.0,0.0,Matches,Max Aarons,Max-Aarons
3,Yunis Abdelhamid\Yunis-Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,31.0,1987.0,28.0,61.0,37,43.0,16.0,2.0,14.0,28.0,50.0,14.0,299.0,111.0,37.1,189.0,97.0,13.0,43.0,19.0,0.0,24.0,24,85,166.0,1.0,Matches,Yunis Abdelhamid,Yunis-Abdelhamid
4,Suleiman Abdullahi\Suleiman-Abdullahi,ng NGA,FWMF,Union Berlin,de Bundesliga,22.0,1996.0,1.7,1.0,1,1.0,0.0,0.0,1.0,3.0,33.3,2.0,25.0,9.0,36.0,9.0,11.0,5.0,3.0,1.0,0.0,2.0,1,2,2.0,0.0,Matches,Suleiman Abdullahi,Suleiman-Abdullahi
5,Mehdi Abeid\Mehdi-Abeid,dz ALG,MF,Nantes,fr Ligue 1,26.0,1992.0,20.2,60.0,41,24.0,34.0,2.0,24.0,62.0,38.7,38.0,417.0,114.0,27.3,121.0,233.0,63.0,18.0,3.0,0.0,15.0,17,77,22.0,0.0,Matches,Mehdi Abeid,Mehdi-Abeid
6,Charles Abi\Charles-Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,19.0,2000.0,6.9,10.0,8,3.0,5.0,2.0,3.0,11.0,27.3,8.0,181.0,53.0,29.3,5.0,86.0,90.0,1.0,0.0,0.0,1.0,4,14,5.0,0.0,Matches,Charles Abi,Charles-Abi
7,David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,33.0,1986.0,18.8,30.0,22,18.0,10.0,2.0,16.0,34.0,47.1,18.0,200.0,75.0,37.5,109.0,78.0,13.0,31.0,14.0,1.0,17.0,16,46,87.0,1.0,Matches,David Abraham,David-Abraham
8,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,eng Premier League,21.0,1997.0,24.6,14.0,10,4.0,5.0,5.0,4.0,16.0,25.0,12.0,430.0,130.0,30.2,19.0,169.0,242.0,23.0,5.0,0.0,18.0,5,19,26.0,0.0,Matches,Tammy Abraham,Tammy-Abraham
9,Amir Abrashi\Amir-Abrashi,al ALB,MF,Freiburg,de Bundesliga,29.0,1990.0,7.4,23.0,13,11.0,11.0,1.0,7.0,17.0,41.2,10.0,164.0,41.0,25.0,68.0,82.0,14.0,19.0,3.0,0.0,16.0,8,31,15.0,1.0,Matches,Amir Abrashi,Amir-Abrashi
10,Francesco Acerbi\Francesco-Acerbi,it ITA,DF,Lazio,it Serie A,31.0,1988.0,35.1,52.0,33,36.0,10.0,6.0,13.0,26.0,50.0,13.0,319.0,114.0,35.7,212.0,81.0,26.0,61.0,30.0,0.0,31.0,28,80,165.0,2.0,Matches,Francesco Acerbi,Francesco-Acerbi
