,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Past,Press,Succ,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches,First,Last,Position
0,Max Aarons\Max-Aarons,eng ENG,DF,Norwich City,eng Premier League,19.0,2000.0,36.0,64.0,36,40.0,17.0,7.0,21.0,45.0,46.7,24.0,487.0,132.0,27.1,283.0,142.0,62.0,100.0,30.0,2.0,70.0,20,84,86.0,0.0,Matches,Max Aarons,Max-Aarons,RB
5,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,20.0,1998.0,35.3,58.0,25,38.0,14.0,6.0,34.0,85.0,40.0,51.0,409.0,131.0,32.0,193.0,123.0,93.0,53.0,9.0,0.0,44.0,34,92,98.0,2.0,Matches,Trent Alexander-Arnold,Trent-Alexander-Arnold,RB
27,Sam Byram\Sam-Byram,eng ENG,DF,Norwich City,eng Premier League,25.0,1993.0,14.4,46.0,23,28.0,11.0,7.0,24.0,49.0,49.0,25.0,236.0,74.0,31.4,126.0,83.0,27.0,50.0,10.0,0.0,40.0,20,66,75.0,0.0,Matches,Sam Byram,Sam-Byram,RB
49,Thomas Doyle\Thomas-Doyle,eng ENG,MFFW,Manchester City,eng Premier League,17.0,2001.0,0.2,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,5.0,1.0,20.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,Matches,Thomas Doyle,Thomas-Doyle,"LB,RB"
66,Simon Francis\Simon-Francis,eng ENG,DF,Bournemouth,eng Premier League,34.0,1985.0,10.8,17.0,12,13.0,4.0,0.0,11.0,25.0,44.0,14.0,107.0,29.0,27.1,71.0,24.0,12.0,29.0,14.0,0.0,15.0,7,24,91.0,2.0,Matches,Simon Francis,Simon-Francis,"CB,RB"
67,Ryan Fredericks\Ryan-Fredericks,eng ENG,DF,West Ham,eng Premier League,26.0,1992.0,24.9,86.0,48,63.0,15.0,8.0,33.0,65.0,50.8,32.0,325.0,97.0,29.8,196.0,85.0,44.0,42.0,9.0,1.0,33.0,20,106,91.0,0.0,Matches,Ryan Fredericks,Ryan-Fredericks,RB
72,Joe Gomez\Joe-Gomez,eng ENG,DF,Liverpool,eng Premier League,22.0,1997.0,22.3,26.0,15,17.0,9.0,0.0,10.0,22.0,45.5,12.0,151.0,60.0,39.7,92.0,55.0,4.0,25.0,8.0,0.0,17.0,19,45,90.0,1.0,Matches,Joe Gomez,Joe-Gomez,"CB,RB"
79,Mason Holgate\Mason-Holgate,eng ENG,DF,Everton,eng Premier League,22.0,1996.0,22.8,50.0,28,34.0,15.0,1.0,21.0,37.0,56.8,16.0,242.0,77.0,31.8,146.0,83.0,13.0,32.0,16.0,1.0,16.0,28,78,145.0,1.0,Matches,Mason Holgate,Mason-Holgate,"RB,CB"
85,Reece James\Reece-James,eng ENG,DF,Chelsea,eng Premier League,19.0,1999.0,16.8,42.0,23,20.0,17.0,5.0,14.0,31.0,45.2,17.0,271.0,73.0,26.9,124.0,113.0,34.0,46.0,8.0,0.0,38.0,14,56,39.0,0.0,Matches,Reece James,Reece-James,"RB,CDM"
90,Ben Johnson\Ben-Johnson,eng ENG,DF,West Ham,eng Premier League,19.0,2000.0,3.0,8.0,4,5.0,2.0,1.0,4.0,6.0,66.7,2.0,36.0,6.0,16.7,19.0,10.0,7.0,8.0,3.0,0.0,5.0,4,12,16.0,0.0,Matches,Ben Johnson,Ben-Johnson,"RB,LB"
